Score,Selection,Asian,Black,Hispanic,Native American,Native Hawaiian,Two or More Races,White,Female,Male
0.6737334442147779,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4117001572277201,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5979394945329909,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.5036079853547284,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.9286224206525072,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.7042265624871935,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7711049500810575,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.3067167632787618,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1892438390118406,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7181876860719377,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5892822140280879,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.8866877400579782,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.6780129104464089,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.8236569712180969,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.2016570606085191,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.6582274098369695,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6799823395748769,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.1713550229645605,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.54247874135996,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.7064642625410376,1,,,,,,,,0.0,1.0
0.1337139529594977,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
